?? REGISTRO DE PAGOS QUINCENAL,,,,,,,,,,,,
,,,,,,,,,,,,
PERÍODO:,Fecha Inicio:,16/10/2025,Fecha Fin:,31/10/2025,Días laborados:,16,,,,,,
"?? TIP: Selecciona las HORAS primero (columna C), luego aparecerán los horarios en el dropdown de la columna D",,,,,,,,,,,,
,,,,,,,,,,,,
Día,Fecha,Horas,Horario,Valor x Hora (?),Sucursal,Total (?),,,,,,
Thursday,16/10/2025,8,7am-4:30pm,"2,400.00",UNIBE,"?19,200.00",,,,,,
Friday,17/10/2025,8,7am-4:30pm,"2,400.00",H. niños,"?19,200.00",,,,,,
Saturday,18/10/2025,,,,,,,,,,,
Sunday,19/10/2025,,,,,,,,,,,
Monday,20/10/2025,,,,,,,,,,,
Tuesday,21/10/2025,,,,,,,,,,,
Wednesday,22/10/2025,8,10am-7pm,"2,400.00",Central,"?19,200.00",,,,,,
Thursday,23/10/2025,5,8am-1pm,"5,000.00",Hatillo,"?25,000.00",,,,,,
Friday,24/10/2025,,,,,,,,,,,
Saturday,25/10/2025,,,,,,,,,,,
Sunday,26/10/2025,,,,,,,,,,,
Monday,27/10/2025,,,,,,,,,,,
Tuesday,28/10/2025,,,,,,,,,,,
Wednesday,29/10/2025,,,,,,,,,,,
Thursday,30/10/2025,,,,,,,,,,,
Friday,31/10/2025,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTALES:,,29,,,,"?82,600.00",,,,,,
